ko_maticni_broj,municipalityName,cadmunName,parcels_total,parcels_with_buildings
703028,BELA PALANKA,GLOGOVAC,172,152
703036,BELA PALANKA,GORNJA GLAMA,107,95
703044,BELA PALANKA,GORNJA KORITNICA,148,138
703052,BELA PALANKA,GORNJI RINJ,113,108
703079,BELA PALANKA,GRADIŠTE I,178,154
703087,BELA PALANKA,GRADIŠTE II,11,6
703095,BELA PALANKA,DIVLJANA,167,143
703109,BELA PALANKA,DOL,139,100
703117,BELA PALANKA,DOLAC,458,340
703125,BELA PALANKA,DONJA GLAMA,82,79
703133,BELA PALANKA,DONJA KORITNICA,242,219
703141,BELA PALANKA,DONJI RINJ,73,73
703150,BELA PALANKA,DRAŽEVO,80,73
703168,BELA PALANKA,KLENJE,115,99
703176,BELA PALANKA,KLISURA,321,302
703184,BELA PALANKA,KOZJA,171,160
703192,BELA PALANKA,KOSMOVAC,98,88
703206,BELA PALANKA,KREMENICA,141,120
703214,BELA PALANKA,KRUPAC,215,151
703222,BELA PALANKA,LANIŠTE,149,125
703249,BELA PALANKA,LESKOVIK,40,35
703257,BELA PALANKA,LJUBATOVICA,168,154
703265,BELA PALANKA,MIRANOVAC,136,126
703273,BELA PALANKA,MOKLIŠTE,609,506
703281,BELA PALANKA,MOKRA,398,356
703290,BELA PALANKA,NOVO SELO,118,100
703303,BELA PALANKA,OREOVAC,127,115
703311,BELA PALANKA,PAJEŽ,273,271
703320,BELA PALANKA,SINJAC,239,203
703338,BELA PALANKA,TAMNJANICA,238,220
703346,BELA PALANKA,TELOVAC,88,87
703354,BELA PALANKA,TOPONICA,206,197
703362,BELA PALANKA,TREŠNJANCI,51,42
703389,BELA PALANKA,CRVENA REKA,193,155
703397,BELA PALANKA,CRVENI BREG,353,281
703419,BELA PALANKA,CRNČE,178,172
703427,BELA PALANKA,ČIFLIK,168,152
703435,BELA PALANKA,ŠLJIVOVIK,249,247
703443,BELA PALANKA,ŠPAJ,189,167
703451,BARAJEVO,ARNAJEVO,478,283
703460,BARAJEVO,BARAJEVO,5198,3427
703478,BARAJEVO,BAĆEVAC,2248,1453
703486,GROCKA,BEGALJICA,1467,1061
703494,VOŽDOVAC,BELI POTOK,1137,967
703508,BARAJEVO,BELJINA,685,454
703516,BARAJEVO,BOŽDAREVAC,815,749
703524,GROCKA,BOLEČ,2105,1612
703532,GROCKA,BRESTOVIK,985,706
703559,ČUKARICA,VELIKA MOŠTANICA,1697,1335
703567,BARAJEVO,VELIKI BORAK,1201,784
703583,ZVEZDARA,VELIKI MOKRI LUG,2055,1641
703591,PALILULA (BEOGRAD),VELIKO SELO,515,442
703605,GROCKA,VINČA,2201,1675
703613,PALILULA (BEOGRAD),VIŠNJICA,2178,1655
703621,VOŽDOVAC,VOŽDOVAC,8075,7107
703630,BARAJEVO,VRANIĆ,2909,1794
703648,VRAČAR,VRAČAR,4261,3737
703656,GROCKA,VRČIN,5489,4221
703664,GROCKA,GROCKA,5167,4599
703672,BARAJEVO,GUNCATI,1659,1471
703699,GROCKA,DRAŽANJ,586,461
703702,ČUKARICA,ŽELEZNIK,3392,2503
